‘Mumbai is not just a mosaic of India but of world’,2020-01-06T06:20:25+05:30,Abha Goradia,,https://indianexpress.com/article/cities/mumbai/book-on-historian-jim-masselos-manjiri-kamat-prashant-kidambi-rachel-dwyer-of-soas-london-6201404/
"Shift Bhim Army chief to AIIMS, no grounds to keep him in jail: Priyanka Gandhi",2020-01-06T06:18:38+05:30,Express News Service,"Bhim Army chief Chandrashekhar, Priyanka Gandhi Vadra",https://indianexpress.com/article/india/shift-bhim-army-chief-to-aiims-no-grounds-to-keep-him-in-jail-priyanka-6201598/
"JNU violence: AMU students hold vigil, demand immediate arrest",2020-01-06T06:08:50+05:30,Express News Service,JNU,https://indianexpress.com/article/india/jnu-violence-amu-students-hold-vigil-demand-immediate-arrest-6201600/
Lucknow confidential: Options pen,2020-01-06T06:04:19+05:30,Express News Service,,https://indianexpress.com/article/cities/lucknow/lucknow-confidential-options-pen-6201595/
Apologise for sending protesters to jail: Maya to Yogi govt,2020-01-06T06:48:26+05:30,Express News Service,"CAA protests, Mayawati, Uttar Pradesh",https://indianexpress.com/article/india/apologise-for-sending-protesters-to-jail-maya-to-yogi-govt-6201590/
Every Woman’s Story,2020-01-06T06:22:25+05:30,Pallavi Chattopadhyay,"Anuradha Kapur, Deepan Sivaraman, National School of Drama",https://indianexpress.com/article/lifestyle/art-and-culture/opera-in-delhi-woman-issues-opera-on-social-issues-deepan-sivaraman-anuradha-kapur-indo-australian-theatre-production-daughters-opera-6201204/
Winter of discontent: Mumbai clutching at the straws to save this Ranji season,2020-01-06T08:51:38+05:30,Devendra Pandey,Ranji Trophy,https://indianexpress.com/article/sports/cricket/winter-of-discontent-ranji-trophy-karnataka-vs-mumbai-6201556/
"Horoscope Today, January 6, 2020: Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Aquarius, Pisces",2020-01-06T10:50:36+05:30,Express Web Desk,"Aquarius, Aries, Cancer, Capricorn, Gemini, horoscope, Leo, Libra, Pisces, Sagittarius, Scorpio, Taurus, Virgo",https://indianexpress.com/article/horoscope/horoscope-today-january-6-2020-aries-gemini-leo-cancer-virgo-libra-capricorn-check-astrological-prediction-6201561/
Win-win: Punjab nudge to replace autos with e-rickshaws,2020-01-06T05:32:43+05:30,Kanchan Vasdev,"air pollution, Punjab Pollution Control Board",https://indianexpress.com/article/governance/win-win-punjab-nudge-to-replace-autos-with-e-rickshaws-6201461/
"In Maharashtra, linking land records to PM Fasal Bima saves time, plugs leaks",2020-01-06T08:01:15+05:30,Parthasarathi Biswas,"farmers, Maharashtra",https://indianexpress.com/article/governance/in-maharashtra-linking-land-records-to-pm-fasal-bima-saves-time-plugs-leaks-6201472/
"New Hope: Taking lessons from the rough side of life, Akash Deep roughens up Gujarat",2020-01-06T09:02:51+05:30,Shamik Chakrabarty,Ranji Trophy,https://indianexpress.com/article/sports/cricket/new-hope-taking-lessons-from-the-rough-side-of-life-akash-roughens-up-gujarat-6201554/
"Yogi gives BJP booklet on CAA to Muslims, says read it to clear doubts",2020-01-06T06:48:22+05:30,Express News Service,"CAA protests, Yogi Adityanath",https://indianexpress.com/article/india/yogi-gives-bjp-booklet-on-caa-to-muslims-says-read-it-to-clear-doubts-6201516/
"JNU violence: Masked men run riot inside campus for 3 hours, 26 injured",2020-01-06T07:31:09+05:30,Aranya Shankar,"Delhi Police, JNU, New Delhi",https://indianexpress.com/article/india/jawaharlal-nehru-university-jnu-delhi-violence-abvp-jnusu-6201447/
"Sikh killed, India tells Pakistan: ‘guard minorities’",2020-01-06T04:40:30+05:30,Krishn Kaushik,,https://indianexpress.com/article/india/sikh-killed-india-tells-pakistan-guard-minorities-6201476/
"BJP to fight Delhi polls on Modi name, CAA agenda",2020-01-06T09:21:31+05:30,Abhinav Rajput,"amit shah, BJP, Delhi elections, Narendra Modi",https://indianexpress.com/article/india/bjp-to-fight-delhi-polls-on-modi-name-caa-agenda-6201481/
"‘Concerned’ India in touch with Iran, US",2020-01-06T07:00:29+05:30,Express News Service,"Iran, Mike Pompeo, Qassem Soleimani, S. Jaishankar",https://indianexpress.com/article/india/india-us-iran-qassem-soleimani-6201491/
"Bardhaman station building collapse: 1 injured person dies, Rlys form probe committee",2020-01-06T04:36:09+05:30,Express News Service,,https://indianexpress.com/article/cities/kolkata/bardhaman-station-building-collapse-1-injured-person-dies-rlys-form-probe-committee-6201512/
Kolkata: Man says BJP leader Hazra beat him at pub,2020-01-06T04:32:35+05:30,Express News Service,,https://indianexpress.com/article/cities/kolkata/kolkata-man-says-bjp-leader-hazra-beat-him-at-pub-6201507/
"JNU violence: Delhi Police watch as ambulances smashed, leaders heckled",2020-01-06T07:38:43+05:30,Shivam Patel,JNU,https://indianexpress.com/article/india/jnu-violence-police-watch-as-ambulances-smashed-leaders-heckled-6201469/
"Odisha: In remote Malkangiri, cellphones and roads are bridging distances",2020-01-06T05:36:05+05:30,Sampad Patnaik,Naveen Patnaik,https://indianexpress.com/article/governance/odisha-in-remote-malkangiri-cellphones-and-roads-are-bridging-distances-6201543/
Iran-US tensions: Why few expect full-blown war but no one rules it out,2020-01-06T09:06:03+05:30,Express News Service,"donald trump, Express Explained, Qassem Soleimani",https://indianexpress.com/article/explained/irans-major-general-qassem-soleimani-killing-why-few-expect-full-blown-war-but-no-one-rules-it-out-donald-trump-6201285/
Explained: What carbon numbers mean for climate target,2020-01-06T09:13:55+05:30,Amitabh Sinha,"Climate change, Express Explained",https://indianexpress.com/article/explained/state-of-forest-report-2019-what-carbon-numbers-mean-for-climate-target-6201273/
Explained: What carbon numbers mean for climate target,2020-01-06T09:13:55+05:30,Amitabh Sinha,"Climate change, Express Explained",https://indianexpress.com/article/explained/state-of-forest-report-2019-what-carbon-numbers-mean-for-climate-target-6201273/
"‘South Asians aren’t often painted as desirable,’ says Vishaal Reddy",2020-01-06T06:22:19+05:30,,,https://indianexpress.com/article/entertainment/web-seris-on-queer-indian-american-vishaal-reddy-insomnia-television-actrors-6201236/
Explained: What is Protecting Power?,2020-01-06T11:39:14+05:30,Express News Service,"Express Explained, Iran, Qassem Soleimani, Switzerland, US",https://indianexpress.com/article/explained/why-tehran-chose-the-swiss-embassy-to-register-its-protest-against-the-us-over-qassem-soleimani-killing-6201306/
Dilip Vengsarkar and Muzumdar weigh in: Time for some tough decisions for Mumbai,2020-01-06T08:50:37+05:30,Devendra Pandey,"Dilip Vengsarkar, Ranji Trophy",https://indianexpress.com/article/sports/cricket/ranji-trophy-vengsarkar-and-muzumdar-weigh-in-time-for-some-tough-decisions-for-mumbai-6201560/
"Lucknow: 19 months on, man held for ‘killing, burying wife’",2020-01-06T06:06:16+05:30,Express News Service,,https://indianexpress.com/article/cities/lucknow/lucknow-19-months-on-man-held-for-killing-burying-wife-6201592/
Tableaux of exclusion,2020-01-06T04:05:29+05:30,Editorial,express editorial,https://indianexpress.com/article/opinion/editorials/republic-day-tableaux-bjp-caa-nrc-6201348/
Rebooting the economy,2020-01-06T04:00:40+05:30,Editorial,express editorial,https://indianexpress.com/article/opinion/editorials/us-iran-tensions-world-market-india-6201326/
"India needs its secularists to engage in open, self-critical debate — rather than polarising polemic",2020-01-06T11:04:04+05:30,Ramesh Venkataraman,,https://indianexpress.com/article/opinion/columns/india-constitution-secularism-caa-nrc-bjp-6201235/
Nobel couple Esther Duflo and Abhijit Banerjee at Express Adda today,2020-01-06T09:25:54+05:30,Express News Service,"Abhijit Banerjee, Esther Duflo, Express Adda",https://indianexpress.com/article/india/nobel-couple-esther-duflo-and-abhijit-banerjee-at-adda-today-6201439/
"Ahmedabad: Legacy Food Street Of Law Garden Khau Gali gets a revamp, to regain life as Happy Street by end of January",2020-01-06T06:17:22+05:30,Sohini Ghosh,,https://indianexpress.com/article/cities/ahmedabad/ahmedabad-legacy-food-street-of-law-garden-khau-gali-gets-revamp-regain-life-as-happy-street-6201328/
"Hold special Assembly session to make Gujarat first in the country, not to support CAA: Jignesh Mevani",2020-01-06T06:48:46+05:30,Express News Service,"Citizenship Amendment Act, Gujarat, Jignesh Mewani",https://indianexpress.com/article/india/hold-special-assembly-session-to-make-gujarat-first-in-the-country-not-to-support-caa-mevani-6201322/
