"Uttar Pradesh: Madrasa inmates say police beat them, forced them to chant ‘Jai Shri Ram’",2020-01-06T11:32:43+05:30,Aranya Shankar,"CAA protests, Citizenship Amendment Act, Muzaffarnagar",https://indianexpress.com/article/india/muzaffarnagar-uttar-pradesh-madrasa-inmates-say-police-beat-them-forced-them-to-chant-jai-shri-ram-6201343/
"After Kanpur, two shot in December 20 Bijnor violence to be probed as ‘accused’",2020-01-06T07:02:45+05:30,Krishn Kaushik,"CAA protests, Citizenship Amendment Act, NRC",https://indianexpress.com/article/india/after-kanpur-two-shot-in-december-20-bijnor-violence-to-be-probed-as-accused-6201355/
MHA sanctions third advisor to J&K Lt Governor GC Murmu,2020-01-06T01:48:15+05:30,Express News Service,"GC Murmu, Jammu and Kashmir",https://indianexpress.com/article/india/mha-sanctions-third-advisor-to-jk-lt-governor-gc-murmu-6201347/
"Not for Netflix, number only to support BJP’s CAA campaign: Amit Shah",2020-01-06T01:35:21+05:30,Express News Service,"amit shah, CAA protests, Netflix",https://indianexpress.com/article/india/not-for-netflix-number-only-to-support-bjps-caa-campaign-amit-shah-6201295/
BJP begins door-to-door campaign to dispel ‘misinformation’ on CAA,2020-01-06T01:30:56+05:30,Express News Service,CAA protests,https://indianexpress.com/article/india/bjp-begins-door-to-door-campaign-to-dispel-misinformation-on-caa-6201293/
"Parties condemn violence at JNU: Congress blames ‘fascists’, BJP ‘forces of anarchy’",2020-01-06T07:39:54+05:30,Express News Service,"Delhi Police, JNU, Priyanka Gandhi Vadra",https://indianexpress.com/article/india/parties-condemn-violence-at-jnu-congress-blames-fascists-bjp-forces-of-anarchy-6201315/
"Vadodara: Two held for vandalising shops, attacking owners",2020-01-06T06:54:21+05:30,Express News Service,Gujarat,https://indianexpress.com/article/india/vadodara-two-held-for-vandalising-shops-attacking-owners-6201320/
Retired IPS officer appointed Advisor to Jammu and Kashmir L-G,2020-01-05T21:43:55+05:30,Express News Service,Jammu and Kashmir,https://indianexpress.com/article/india/retired-ips-officer-appointed-advisor-to-jammu-and-kashmir-l-g-6201099/
"Amid escalating US-Iran tenions, Jaishankar dials Iran’s foreign minister, Mike Pompeo",2020-01-06T00:18:00+05:30,Express Web Desk,,https://indianexpress.com/article/india/amid-escalating-us-iran-tenions-jaishankar-speaks-to-irans-foreign-minister-6201024/
"Gujarat: 111 infants died in Rajkot hospital, 88 in Ahmedabad in December",2020-01-05T20:38:20+05:30,Express News Service,,https://indianexpress.com/article/india/gujarat-111-infants-died-in-rajkot-hospital-88-in-ahmedabad-in-december-6201002/
