Aligarh society alleges use of force on IHC members opposing Kerala Governor speech," 29 December, 2019 7:17 pm IST",PTI,"CAA protests, Kerala Governor, NRC, PTI wire",https://theprint.in/india/aligarh-society-alleges-use-of-force-on-ihc-members-opposing-kerala-governor-speech/342352/
Home Minister Amit Shah unveils new insignia for CRPF’s VIP security wing," 29 December, 2019 7:07 pm IST",PTI,"Amit Shah, CRPF, PTI wire",https://theprint.in/india/home-minister-amit-shah-unveils-new-insignia-for-crpfs-vip-security-wing/342355/
Indian Navy to build fleet of 18 conventional & six nuclear attack submarines," 29 December, 2019 6:44 pm IST",ANI,"ANI wire, Indian Navy, nuclear-powered submarine",https://theprint.in/india/indian-navy-to-build-fleet-of-18-conventional-six-nuclear-attack-submarines/342320/
Ayodhya to gau raksha — Modi consulted Karnataka seer Vishwesha Teertha Swami since 1992," 29 December, 2019 6:33 pm IST",Rohini Swamy,"Narendra Modi, Udupi temple, Vishwesha Theertha Swami",https://theprint.in/india/ayodhya-to-gau-raksha-modi-consulted-karnataka-seer-vishwesha-teertha-swami-since-1992/342331/
Amitabh Bachchan to receive Dada Saheb Phalke Award today," 29 December, 2019 4:33 pm IST",ANI,"Amitabh Bachchan, ANI wire, Dada Saheb Phalke Award",https://theprint.in/india/amitabh-bachchan-to-receive-dada-saheb-phalke-award-today/342316/
"Delhi hospitals not giving medical reports, say families of UP men killed in ‘police firing’"," 29 December, 2019 4:04 pm IST",Jyoti Yadav,"Citizenship Amendment Act protests, UP Police, Uttar Pradesh",https://theprint.in/india/delhi-hospitals-not-giving-medical-reports-say-families-of-up-men-killed-in-police-firing/342207/
Mulayam Singh Yadav in Mumbai hospital for ‘abdominal complaints’," 29 December, 2019 4:00 pm IST",PTI,"Mulayam Singh Yadav, PTI wire, Samajwadi Party",https://theprint.in/india/mulayam-singh-yadav-in-mumbai-hospital-for-abdominal-complaints/342300/
"Hemant Soren sworn in as 11th chief minister of Jharkhand, Mamata, Rahul attend ceremony"," 29 December, 2019 3:37 pm IST",PTI,"Hemant Soren, Jharkhand assembly election, PTI wire",https://theprint.in/india/hemant-soren-sworn-in-as-11th-chief-minister-of-jharkhand-mamata-rahul-attend-ceremony/342292/
"Inspection report of scam-hit PMC Bank yet to be finalised, says RBI"," 29 December, 2019 3:16 pm IST",Ashwini Shrivastava,"PMC Bank scam, PTI wire, RBI",https://theprint.in/india/inspection-report-of-scam-hit-pmc-bank-yet-to-be-finalised-says-rbi/342281/
"In Yogi bastion Gorakhpur, residents say police strictly obeying CM’s ‘revenge’ statement"," 29 December, 2019 2:59 pm IST",Fatima Khan,"CAA protests, Gorakhpur, Yogi Adityanath",https://theprint.in/india/in-yogi-bastion-gorakhpur-residents-say-police-strictly-obeying-cms-revenge-statement/342216/
